url,label
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/0_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/1_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/2_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/3_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/4_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/5_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/6_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/7_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/8_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/9_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/10_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/11_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/12_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/13_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/14_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/15_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/16_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/17_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/18_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/19_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/20_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/21_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/22_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/23_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/24_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/25_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/26_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/27_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/28_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/29_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/30_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/31_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/32_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/33_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/34_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/35_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/36_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/37_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/38_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/39_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/40_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/41_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/42_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/43_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/44_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/45_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/46_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/47_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/48_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/49_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/50_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/51_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/52_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
file:///tf/workfiles/ZHAW/Machine Intelligence/Deep Learning/Arbeit/resized_images/53_Pepper__bell___Bacterial_spot.jpg,Pepper__bell___Bacterial_spot
